Age Rating,Label,Rating,Number of Descriptions,Descriptions
age 6+,Violence & Scariness,3,61,"Some mild adventure-based scares, like when Barbie and Skipper's hot-air balloon; While the show features high-speed races and obstacles like a giant robotic cobr; Mild violence as expected in superhero stories: villains commit crimes across th; Some frightening elements that may not be suitable for young children, e.g., a s; The show begins with an ominous storm that signals trouble to each princess. A p; Some moderate scares and suspense -- all done in a very silly way but enough tha; Citizens of MoleTown are often shown panicking and running around with their han; Characters regularly trade mild insult language. The animals get into scrapes, s; The trains experience some mild peril, and spooky sounds from the cave may alarm; Some brief pushing and shoving that is quickly resolved, including some sibling; Lots of cartoonish violence, including scary robots that shoot fireballs, and So; There are moments of perilous music and darkness during their adventures. They o; The village awaits an attack from the Oni, which leads to notable suspense. A fi; Some speedy racing and peril (looming dino trucks with sharp teeth, etc.), but t; Robots fight aliens, punching, kicking, shooting them with lasers and tossing th; Includes moments of peril and some high-tech weaponry. There are also scenes inv; Lots of cartoonish violence; Scrat is crushed, pulled apart, poked by a cactus,; Characters are smashed, flattened, slammed, and chased by a personified snow ava; Slapstick cartoon violence, including weapons like spears that are used but neve; Some plot lines feature monsters. There's stun rays and other devices designed t; Lots of bonking, smashing, wrestling, destroying, aggressive behavior. Expect lo; Cartoon violence that's not particularly comical -- electrocutions, teeth broken; Slapstick physical violence used for humor (without any actual injury), brief ex; Varies from short to short; seven out of 10 have no violence or scariness. The I; Explosions, blaster fire, lightsaber battles. But Star Wars fantasy violence in; All kinds of accidents befall the characters in this story, but they’re obviousl; Characters can act mean and aggressive. Recurring villains ""The Muddy Bandits"" d; Many martial arts-style exchanges with kicking and punching, but also some use o; Some peril and action violence, mostly of the crashing, falling, bumping, genera; Tense exchanges between Niko and the various creatures he encounters. Niko is ar; Fantasy violence (falling off cliffs, crash through glass doors, electrocutions,; Lots of fighting, including martial arts brawls, sword fights, and blaster fire.; Guards use spears and swords to ward off intruders. In one scene, Tut's mummifie; Typical cartoon violence (knocks to the head, collisions between characters), bu; Lots of cartoon slapstick that's mildly funny for the most part but occasionally; Some pratfalls (without injury) and mean-spirited tricks, like shooting someone; Sure, jungle life is dog-eat-dog, but here it's taken to extremes -- bananas; Some cartoon rough-and-tumble with long falls, explosions, and lots of flashy cr; This series was supposed to be as ""violent"" as the original Tom and Jerry (which; Cartoon tumbles from heights and hand-to-hand exchanges that never result in inj; The captain uses a water pistol-like gun to shoot space slime. There are also a; Lots of cartoony mayhem.; Stitch and the other experiments cause mayhem and destruction. Every episode inv; Cartoon violence and combat with scary monsters.; Mild overall -- weapons are made out of toy jump ropes, yo-yos, marbles, etc.; Cartoonish, video game-style violence, mostly implied. Lots of battles between ""; Usually only the digital monsters take part in battles, which are flashy and lou; Slapstick comedy is what this show is made of, and most of it involves injury be; Pokemon characters are fighters; laser shots, explosive battles, punching, kicki; Standard cartoon-style violence, including explosions, dramatic falls, collision; Voodoo, guns, axes, and other weapons (in Secret Squirrel segments). Some physic; Mild action hero violence -- fist fights, using special powers to temporarily di; Dastardly and Muttley frequently run from bullets and explosives, but there's no; The Evil Claw constantly sets traps for Penelope, mostly of the ropes-and-explos; Bullets and explosives, but no bloodshed.; Several fistfights, some car crashes and burnings. Speed's father is quite rough; Each episode involves some kind of peril and threat, usually in the shape of a m; Weaponry, in the form of hurled rocks and lasers, is used on animal and human-li; Relatively minor compared to its '60s peers, but still some flying bullets,; The characters use guns and other, often-futuristic weapons, and there are many; Guns are everywhere; every cigar explodes; fist fights (in the form of rolling c"
age 6+,Violence & Scariness,2,45,"Lots of fantasy violence, including larger-than-life Pokémon battles. Chases, pe; Lots of fantasy violence, including wrestling with pokémon, and using powers lik; Intergalactic fights, including hand combat, lasers, and weapon use, are feature; As with other Lego Star Wars spinoffs, this special includes fantasy violence. C; Characters are regularly taking pratfalls and are in peril, being chased by the; At the beginning, a SWAT team shows up to arrest Ted Templeton. Talk of differen; Ghosts and monsters chase and try to scare the gang on each episode. Chaos is of; Perilous and scary moments when a cat hunts and taunts Robin. This same cat was; Lots of slapstick violence. A knight charges at Patrick with an axe; Patrick and; Moderate scariness where characters are in peril but are not overly distressed.; Brief pushing and shoving between characters; characters apologize afterward. Mi; Scooby and his friends are often chased by bad actors disguised as ghosts, monst; Infrequent cartoon-style violence, like when a man is thrown around the room or; Varies from short to short -- some are suitable for any audience. One short has; Cartoon-style violence includes explosions, vehicle crashes, long falls, and bui; Accidents are played for humor, as when Sandy burns her hands and Pearl gets ele; Any violence is cartoonish and slapstick in nature, but parents of sensitive kid; Flashy action sequences show the characters punching, hitting, and kicking their; Cartoon violence like cliff falls, collisions, explosions, and being pummeled by; Mild fantasy violence, including some physical fighting, the use of powerful mag; It wouldn't be an Oz story without winged monkeys, and while this version's are; Accidents and mishaps are played for humor. Some physical contact including hitt; Characters are in constant danger from oversize predators, and some are said to; Some mild fantasy violence (explosions, falls), high speed chases. No one gets h; Some scary moments and monsters of all kinds. Figaro's generally anxious sta; Physical altercations along with electrocution, some guns (the laser kind), and; Sword play and duels are common, many times with kicking, punching, and scratchi; Characters have powers that let them summon massive crystals to block their enem; Many of the villains come across as mean and intimidating, and they make threats; All of the characters are shown as Lego figures, which lessens the impact of the; Martial arts-style combat is common both in training scenes and in the protagoni; There's broad cartoon violence -- a robot character's head explodes off; Plenty of physical slapstick stuff like long falls, electrocution, and the like,; The plot of most episodes revolves around Shere Khan's obsession with killin; Some animated slapstick violence. Dennis is certainly a rascal who delights in m; Animals get injured in various ways -- by pushing, falling, slapping, getting cr; Some martial arts-style fighting, and the bad guys use laser guns, but no one su; Plenty of cartoon roughhousing and physical comedy. Characters get injured but r; In one song, Baxter imagines going to outer space and meeting aliens with sharp; Cartoon violence often used to resolve conflicts; everyone survives.; The villains are a spider and a cat who want to eat Fievel. There are often scen; Frequent cartoon violence. Darkwing Duck’s weapon of choice is a gas gun that sh; Some of Bobby's fantasies are pretty violent: bungee jumping off roofs, brandish; The ponies are often threatened by imaginary foes: witches, goblins, evil catwom; Some themes may be too scary for very young kids: Though the show often took on"
age 6+,Violence & Scariness,1,40,"The vehicles the characters race are equipped with dangerous blades, and their b; Like any animated superhero series, there is some mild danger featured in the sh; Because Pinecone identifies as a warrior, she sometimes talks about being prepar; Some mild moments of dislike or mistrust. Some mild tension on Harriet's spy adv; Some mild expressions of dislike and mistrust between troll tribes.; Rarely slapstick-style incidents, as when a character punches a friend to snap h; The Ghost of Christmas Future is a little scary when he first shows up as a blac; Pistachions pose as humans, including familiar characters like Milo's parents. W; Some peril befalls Hilda and her friends (falling off cliffs, tumbling down moun; Some suspense and mild scares, as when an unknown being pops out of the woods an; Some very mild fantasy violence, including space chases and potential dangers.; More suspense, mild peril than violence, but there are some scenes that show the; Harsh realities of the wild are presented in a sanitized way. Animals catch and; The Smighties often face mild peril at the hands of their nemesis, Sneevil, who; D.D.'s zest for adventure often leads the pair into situations of mild peril, in; Many of Flint's inventions have explosive side effects. Some are extreme (he; Mild peril, as when farm animals are threatened by a fox or when a character is; Murphy's Law is rough on Milo. In the course of an episode, he's chased by wolve; Tumbles, falls, and other accidents, and the Gumbles sometimes inflict pain on t; Physical humor, but no injuries. Characters crash through walls, drop from heigh; Siblings argue. Some very mild fantasy violence, including people losing control; One of the main characters, Valquíria, is a witch who gets joy from spreading fe; Explosions, fireballs, falling objects, and some sword play, but anything that's; Swordplay, jousting, falls, and bumps, but nothing that lasts.; Some scuffles between characters. Occasionally painful mishaps such as electrocu; Cartoon-style exchanges include punching, kicking, and the like, but injuries ar; Accidents like falling, crashing into things. A character suffers electric shock; The series is much less violent than other Transformers movies and shows, focusi; In some segments, animals eat prey, but there's no blood or trauma involved. Eac; Some scenes show brief physical exchanges with hitting, slapping, and people bei; Plenty of slapstick-type impacts (collisions, falls, knocks to the head), but in; Fantasy violence, mild threats of taking over the universe. Things blow up, peop; Some story lines show characters being tied up or abducted, but there's no viole; As a would-be knight, Jane carries (and knows how to use) a sword.; Characters mocking or being unkind to each other are crucial to the plot of many; Lots of fantasy violence, including flash explosions, etc. No one really gets hu; The monsters scare humans (and sometimes each other) in any number of ways: popp; Some hand-to-hand fighting, but more use of weapons such as a bow and arrow, exp; The villains are mean and heartless to the heroes, but there is no violence to s; There are several pratfalls, both for laughs and in the catching of the bad guys"
age 6+,Violence & Scariness,0,38,"No description found; No description found; No description found; No description found; No description found; Cartoon-style accidents like long falls and crashes don't result in notable inju; No description found; No description found; Slapstick accidents and crashes, but no injuries that last.; Nothing even half as scary as those flying monkeys that were in the 1939 live-ac; No description found; Some crashes and bumps, but no lasting injuries.; Much slapstick, with characters crashing, slipping, falling, and so on for laugh; Some spills and trips with no lasting injuries. Robin's legendary archery skills; No description found; No description found; No description found; No description found; Some cartoon violence like crashes and long falls, but no visible injuries.; No description found; Some of the oversized animals in the pet store are a little scary for youngsters; No description found; Very mild fantasy violence: Menacing animals threaten the two human characters w; Minor injuries like bumps or nosebleeds are said to result from falls, but they&; Mild cartoon peril includes exaggerated knocks to the head and tumbling down mul; Cartoon martial arts fight scenes don't inflict serious harm.; Infrequent scenes with punches and kicks that never cause lasting injury. One sc; No description found; No description found; No description found; Spirits threaten Tutenstein and his friends, but more in a creepy way than a vio; Some cartoony mayhem, but nothing major.; Knocks, bumps, thumps, and crashes, but no lasting injuries. Most accidents are; No description found; Some threats from evil Uncle Hades, but nothing graphic or too scary.; No description found; Occasional yelling. The babies get into scary situations that are often exaggera; Some physical humor and animated pratfalls, and Garfield's been known to kick Od"
age 6+,Violence & Scariness,4,1,Characters sometimes yell and insult each other; fights occasionally break out.
age 6+,Products & Purchases,2,13,"Settings are glamorous and unrealistic.; There's a big product line of Gudetama items from Sanrio.; Based off of three popular Youtube star siblings.; The show is inspired by Hasbro's My Little Pony brand.; No consumerism is featured on the show itself, but outside of the show there's a; Series is based on the Toca Life apps and features the characters and settings i; Nature Cat spends more than half of the episode thinking Christmas is all about; The show is an extension of games and collectible merchandise featuring the Smig; You can purchase Dreamtopia-specific Barbie products.; The show is tied to Lego toys and playsets.; These shorts don't make much sense without knowing the backstory, so kids will w; The series follows Puss's supporting role in Shrek movies and a full-length feat; No outright marketing, but the show is tied to plenty of merchandise."
age 6+,Products & Purchases,3,26,"Like all installments of the franchise, it features lots of Pokémon, devices, et; Not suprisingly, it features lots of pokémon, devices, etc. that are marketed as; The Characters are based on both the Disney and Lego franchises.; The head of Baby Corp. is also an influencer named Nanny Cam No Filter CEO Baby.; A clear installment in the massive Pixar universe; some of the studio's most pop; The series is an animated tie-in to a massive array of available books, toys, ga; Repackaged classic installment in the massive Scooby-Doo franchise.; The show is a virtual commercial for the Littlest Pet Shop merchandise line.; The shorts serve as a promotional vehicle for Marvel-themed Funko dolls and rela; The series is inspired by a line of ZhuZhu Pets toys.; The show is inspired by Minecraft and Stampy, a YouTube channel star.; This series joins a franchise of Playmobil merchandise and movies, and play sets; The series stars characters from popular apps, and they're often seen playing on; This series is intertwined with a marketing franchise that includes multiple mov; The characters are inspired by a line of greeting cards from American Greetings; The entire series is based on the classic line of Hot Wheels toy cars -- and you; Images, characters all featured in games, books, toys.; Each episode includes a new song from the show's Grammy-winning creator, so kids; Lots of on-screen promotions for other shows.; Features characters popular within the franchise.; Arthur and D.W. are influenced by radio and TV commercials when making their own; This show is based on a video game and will likely encourage viewers to get and; The show often feels like a commercial for the line of Digimon toys, video games; SpongeBob is a huge commercial franchise with merchandise, games, clothes, toys,; Responsible for a vast array of merchandising tie-ins, from clothes to DVDs and; This show was created by Hasbro, the maker of a line of My Little Pony toys. Chi"
age 6+,Products & Purchases,4,7,"The Hot Wheels brand presence is significant. Specific cars and tracks featured; Lego Star Wars Summer Vacation is an enticing promotion for Lego Star Wars sets; The entire special is a commercial for Lego Star Wars sets and figures. Some new; Like most of the franchise's media productions, this series is an effective adve; The series blends two marketing powerhouses in Lego and the Star Wars franchise,; The series is tied to a marketing line of action figures and other toys, not to; Characters featured in endless games, toys, etc. all over the world."
age 6+,Products & Purchases,1,22,"No explicit advertisement, but characters are part of a franchise with a number; The series characters are based on a line of toys but they aren't promoted in th; No actual advertising for real products but some consumerist behavior is modeled; Based on a popular video game and movie franchise with lots of related merchandi; Cars universe has lots of merchandise associated with it.; Part of a franchise with merchandise available.; Harriet lives in a glamorous and unrealistic setting -- a giant single family ho; Instead of smart phones, the families use smart stones, complete with a Siri-typ; Shoppers are shown racing out of a department store with their arms loaded with; Part of the vast SpongeBob marketing franchise.; This movie is part of a popular franchise of TV shows, movies, and books.; Disney is one of the world's largest and most prolific companies.; This crossover special involves characters from Milo Murphy's Law and Phineas an; The series follows three movies and joins an extensive franchise of merchandise; Follows a feature-length movie and a popular book series and a licensed merchand; The series follows a feature film, which was inspired by a picture book by Marla; This series is inspired by The Lego Movie, which first introduced Unikitty's; This story precedes that of the feature-length film The Croods.; The series has a partner website, and the characters talk about uploading data a; The series continues the story of characters introduced in the feature-length Dr; Part of the Madagascar line of products.; The series is tied to a product line of games, clothes, and toys."
age 6+,Products & Purchases,0,116,"No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; The series is based on a popular book.; No description found; No description found; No description found; No description found; No description found; No description found; No description found; This series joins several other animated shows and a movie based on Dav Pilkey's; No description found; No description found; No description found; This holiday special is part of the long-running SpongeBob SquarePants series.; Inspired by a book series by Luke Pearson.; No description found; No description found; One episode parodies one-upmanship in sales, when Smidge and Guy Diamond resort; This reboot is inspired by a series of the same name from the late 1960s.; The series is part of the Tomorrowland franchise.; The series is a reboot of a popular 1980s cartoon and features characters who ar; No description found; No description found; No description found; No description found; The show is inspired by two movies and a book and joins a franchise with much ki; The show is inspired by books by Selma Lagerlof.; No description found; No description found; No description found; No description found; This series is inspired by a series of children's books.; The show follows a 2015 movie about how Tip and Oh met when their worlds collide; The show is a reimagining of the classic Robin Hood story.; The show is one of many incarnations of these recognizable characters and the Ne; The show is based on a series of books.; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; Ricky is rich and lives in a mansion -- but his problems are that of a normal(is; George is a familiar brand thanks to past TV and movie iterations.; No description found; No description found; No description found; No description found; No description found; One female character dresses in the trendiest, hippest outfits, which are a litt; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; Children who watch this series may want to seek out other Anne of Green Gables b; No description found; No description found; No description found; Weird Al is known for parodying pop culture, and his TV show is no different. No; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; The series was inspired by an '80s video game.; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No consumerism within the show. But Aquaman is part of the DC universe and as su; No description found; No description found; No description found; No description found"
